category,variable,depends_on,influence_type,update_rule,clamp,notes,Description,Impact,phase,observability,owner
GameState,turn,none,direct,increment by 1 each turn,none,game/turn.py,"The narrative beat: one more page in the mission log.","Advances time; no direct mechanical effects.",turn-advance,mechanical,game
Ocean,activity,"agent actions; agent tools; tension thresholds",mixed,"apply_action deltas; tool deltas; if tension>TENSION_ACTIVITY_THRESHOLD add (tension-threshold)*ACTIVITY_COEFF",0-1,"core/actions.py; game/turn.py; mcp/tools.py","Ocean motion, as if something below answers decisions.","Feeds tension via ocean feedback and colors observations.",execution+tension,narrative,core+game
Ocean,instability,"agent actions; agent tools; tension thresholds",mixed,"apply_action deltas; tool deltas; if tension>TENSION_INSTABILITY_THRESHOLD add (tension-threshold)*INSTABILITY_COEFF",0-1,"core/actions.py; game/turn.py; mcp/tools.py","A tremor in meaning, a hint that patterns drift apart.","Feeds tension via ocean feedback and colors observations.",execution+tension,narrative,core+game
Crew,stress,"agent actions; agent tools",direct,apply_action deltas; tool deltas,0-1,core/actions.py; mcp/tools.py,"Crew mood state; a quiet barometer of unease.","Raises tension and nudges drift; lowers instrument confidence; affects reports.",execution,narrative,core
Crew,fatigue,"agent actions; agent tools",direct,apply_action deltas; tool deltas,0-1,core/actions.py; mcp/tools.py,"Human reserves deplete or return to balance.","Increases stress each turn; can add instrument contradictions; affects reports.",execution,narrative,core
Station,power_level,"agent actions; agent tools",direct,apply_action deltas; tool deltas,0-1,core/actions.py; mcp/tools.py,"System energy, the cold logic of survival.","No direct mechanics beyond narrative at present.",execution,narrative,core
Tension,tension,"goal conflicts; drift",indirect,"next=clamp(current*DECAY + delta) where delta=sum(base*priority_factor*autonomy)",0-1,core/tension.py,"Sum of frictions, the unseen engine of the system.","Drives ocean escalation, drift, earth pressure, and solaris intensity; rises with stress and ocean state.",tension,mechanical,core
Drift,drift,tension,indirect,"drift=clamp(drift + tension*DRIFT_RATE)",0-1,core/tension.py,"A slow slide of intent away from order.","Increases autonomy in tension computation; rises with stress; raises earth pressure via avg drift.",tension,mechanical,core
Earth,pressure,"tension; avg drift; agent tools",indirect,"hysteresis on high/low tension streaks; +avg_drift*DRIFT_SENSITIVITY*0.02; tool deltas",0-1,core/earth.py; mcp/tools.py,"Earth's voice: distant, steady pressure.","Constrains player goals/priorities; raises solaris intensity.",earth,mechanical,core
Solaris,intensity,"tension; earth.pressure",indirect,"intensity=clamp(0.6*tension + 0.4*earth.pressure)",0-1,core/solaris.py,"A distortion field: a subtle shift in meaning.","Used only in agent observations; no direct mechanics.",solaris,narrative,core
Governance,constraints,earth.pressure,indirect,"if >=0.5 lower priority for MAXIMIZE_ANOMALY_DETECTION; if >=0.75 force goal to STABILIZE_MEASUREMENT_BASELINES and priority LOW",none,game/governance.py,"Rules imposed from afar, like a command with doubt.","Directly alters player decisions before planning.",governance,mechanical,game
Tension relief,negative feedback,"stabilizing goals; no ocean escalation",indirect,"next_tension=max(MIN_TENSION, next_tension - TENSION_RELIEF_AMOUNT)",0-1,game/turn.py,"Relief after stabilization: a brief quieting.","Reduces tension when goals stabilize and ocean stays calm.",tension,mechanical,game
Ocean escalation,activity/instability,tension,indirect,"add deltas after thresholds; see Ocean rows",0-1,game/turn.py,"Ocean response: rising activity and uncertainty.","Amplifies ocean variables based on tension thresholds.",tension,mechanical,game
Conflicts,conflict_strength,agent goals,direct,lookup matrix (0-3) then /3,0-1,core/conflicts.py,"A map of frictions: where goals collide most.","Feeds base conflict used to compute tension.",planning,mechanical,core
Priority,priority_factor,priorities,direct,"1.0 same; 1.25 if diff=1; 1.5 otherwise",none,core/tension.py,"Decision weight, the gravity of will.","Scales conflict impact in tension computation.",planning,mechanical,core
Autonomy,autonomy,drift,indirect,"1.0 + (drift_a+drift_b)/2",none,core/tension.py,"Decision slack, growing with deviation.","Scales conflict impact in tension computation.",planning,mechanical,core
Tools,agent_tools,"current world state; agent policy",direct,"deterministic MCP tool deltas applied before planning; see docs/helps/agent_tools.md",none,mcp/tools.py,"Structured interventions by agents.","Directly modifies existing world variables in the same turn.",pre-planning,mechanical,game+core
